[1/8/2016 3:11:25] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 6:1:19] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 16:7:55] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 16:25:11] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[6/8/2016 15:54:35] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[21/1/2022 21:24:29] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: O endereço solicitado não é válido no contexto
[24/1/2022 23:5:36] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 5:22:32] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 5:36:34] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 7:1:3] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 21:7:56] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 21:14:26] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 21:40:30] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[25/1/2022 22:12:35] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 3:19:49] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 3:33:22] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 3:37:30] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 3:55:50] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 3:58:16] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 6:13:49] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
